Item,Item Description,MGBC,SSCC,Local Pallet ID,BBD,Date and Time,Transaction Type,Quantity,UOM
VK329,Bulk: Twix miniatures bulk 10 kg,911D1NLD07,387199001528173271,LE00498151,2019-10-13,02/04/2019 14:07,Used for production,-30,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180965,LE00498519,2020-03-08,02/04/2019 14:07,Used for production,-14,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527770068,LE00498449,2020-02-16,02/04/2019 14:08,Used for production,-8,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906C1NLD12,387199001527795665,LE00498059,2020-02-23,02/04/2019 14:08,Used for production,-41,CASE
NR811,Bulk: DOVE caramel bulk 10 kg,902G2VSN04,340111000024602824,LE00560446,2020-01-05,02/04/2019 14:11,Used for production,-8,CASE
BB47D,Bulk:MW CR miniatures wafer,907D1BBN03,390111002005761228,LE00560444,2020-02-09,02/04/2019 14:11,Used for production,-24,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,904A2VSN04,340111000024629333,LE00560448,2020-01-19,02/04/2019 14:11,Used for production,-47,CASE
NR816,Bulk: DOVE chunk bulk 10kg,903B1VSN04,340111000024607300,LE00560447,2020-01-12,02/04/2019 14:11,Used for production,-10,CASE
NR811,Bulk: DOVE caramel bulk 10 kg,902G3VSN04,340111000024604736,LE00508915,2020-01-05,02/04/2019 14:21,Used for production,-63,CASE
NR816,Bulk: DOVE chunk bulk 10kg,903B1VSN04,340111000024607409,LE00508826,2020-01-12,02/04/2019 14:22,Used for production,-63,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636396,2272568,2020-03-29,03/04/2019 06:56,Goods Receipt Finished Goods,54,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,904C1NLD06,387199001527646226,LE00497963,2020-02-09,03/04/2019 07:07,Used for production,-63,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636402,2272569,2020-03-29,03/04/2019 07:31,Goods Receipt Finished Goods,54,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180408,LE00498643,2020-03-08,03/04/2019 07:37,Used for production,-63,CASE
BB47D,Bulk:MW CR miniatures wafer,907D2BBN03,390111002005761624,LE00508917,2020-02-09,03/04/2019 08:23,Used for production,-63,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636419,2272570,2020-03-29,03/04/2019 08:31,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636426,2272571,2020-03-29,03/04/2019 09:08,Goods Receipt Finished Goods,54,CASE
VK329,Bulk: Twix miniatures bulk 10 kg,912A3NLD07,387199001528227912,LE00498417,2019-10-20,03/04/2019 09:25,Used for production,-63,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636433,2272572,2020-03-29,03/04/2019 09:47,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636440,2272573,2020-03-29,03/04/2019 10:58,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636457,2272574,2020-03-29,03/04/2019 12:03,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636464,2272575,2020-03-29,03/04/2019 12:25,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636471,2272576,2020-03-29,03/04/2019 13:32,Goods Receipt Finished Goods,54,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527849733,LE00498578,2020-02-23,03/04/2019 14:02,Used for production,-63,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636488,2272577,2020-03-29,03/04/2019 14:07,Goods Receipt Finished Goods,54,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527770938,LE00498577,2020-02-16,03/04/2019 14:32,Used for production,-63,CASE
BF56S,Celebrations Tin,914C91HC04,387199003513636495,2272578,2020-03-29,04/04/2019 06:13,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636501,2272579,2020-03-29,04/04/2019 06:50,Goods Receipt Finished Goods,54,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911E1NLD06,387199001528184826,LE00498822,2020-03-08,04/04/2019 07:08,Used for production,-63,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636518,2272580,2020-03-29,04/04/2019 07:25,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636525,2272581,2020-03-29,04/04/2019 08:30,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636532,2272582,2020-03-29,04/04/2019 09:22,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636549,2272583,2020-03-29,04/04/2019 10:01,Goods Receipt Finished Goods,54,CASE
VK329,Bulk: Twix miniatures bulk 10 kg,911D1NLD07,387199001528171918,LE00498148,2019-10-13,04/04/2019 10:55,Used for production,-63,CASE
BB47D,Bulk:MW CR miniatures wafer,907D2BBN03,390111002005761433,LE00508913,2020-02-09,04/04/2019 11:14,Used for production,-63,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636556,2272584,2020-03-29,04/04/2019 11:19,Goods Receipt Finished Goods,54,CASE
NR811,Bulk: DOVE caramel bulk 10 kg,902G3VSN04,340111000024604613,LE00508920,2020-01-05,04/04/2019 11:40,Used for production,-63,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636563,2272585,2020-03-29,04/04/2019 11:53,Goods Receipt Finished Goods,54,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,903F2VSN04,340111000024622747,LE00507318,2020-01-12,04/04/2019 12:12,Used for production,-63,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636570,2272586,2020-03-29,04/04/2019 12:31,Goods Receipt Finished Goods,54,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774417,LE00498848,2020-02-23,04/04/2019 13:05,Used for production,-63,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636587,2272587,2020-03-29,04/04/2019 13:36,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636594,2272588,2020-03-29,04/04/2019 14:15,Goods Receipt Finished Goods,54,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,,,,,05/04/2019 06:47,Waste for Production order,-10.7696,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,,,,,05/04/2019 06:47,Waste for Production order,-2.7872,CASE
NR816,Bulk: DOVE chunk bulk 10kg,,,,,05/04/2019 06:47,Waste for Production order,-10.7024,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,,,,,05/04/2019 06:47,Waste for Production order,-0.832,CASE
NR811,Bulk: DOVE caramel bulk 10 kg,,,,,05/04/2019 06:47,Waste for Production order,-10.2336,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,,,,,05/04/2019 06:47,Waste for Production order,-0.2128,CASE
BB47D,Bulk:MW CR miniatures wafer,,,,,05/04/2019 06:47,Waste for Production order,-10.056,CASE
VK329,Bulk: Twix miniatures bulk 10 kg,,,,,05/04/2019 06:47,Waste for Production order,-5.536,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636617,2272590,2020-03-29,05/04/2019 07:35,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636600,2272589,2020-03-29,05/04/2019 07:43,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636624,2272591,2020-03-29,05/04/2019 08:50,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636631,2272592,2020-03-29,05/04/2019 10:02,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636747,2272603,2020-03-29,05/04/2019 10:10,Goods Receipt Finished Goods,54,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527855406,LE00498818,2020-02-23,05/04/2019 12:05,Used for production,-63,CASE
NR816,Bulk: DOVE chunk bulk 10kg,904E2VSN04,340111000024632555,LE00499014,2020-01-19,05/04/2019 12:06,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911E3NLD06,387199001528190933,LE00498814,2020-03-08,05/04/2019 12:06,Used for production,-63,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636754,2272604,2020-03-29,05/04/2019 13:17,Goods Receipt Finished Goods,54,CASE
VK329,Bulk: Twix miniatures bulk 10 kg,912B3NLD07,387199001528238222,LE00499156,2019-10-20,05/04/2019 13:36,Used for production,-63,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636648,2272593,2020-03-29,05/04/2019 13:48,Goods Receipt Finished Goods,54,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774349,LE00498843,2020-02-23,05/04/2019 13:57,Used for production,-63,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636655,2272594,2020-03-29,05/04/2019 14:13,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636662,2272595,2020-03-29,05/04/2019 14:48,Goods Receipt Finished Goods,54,CASE